gene1	gene2	annotation	direction	score	ann_class	shared_pathways	pathway_type	n_pathways_g1	n_pathways_g2	local_degree_g1	local_degree_g2	mean_local_degree	ratio_g1	ratio_g2	global_degree_g1	global_degree_g2	betweenness_g1	betweenness_g2	taxonomy_g1	taxonomy_g2	mean_global_degree	mean_betweenness
ACTC1	CCT8	predicted	-	0.89	predicted	0	inter	20	17	29.35	37.471	33.41	0.0435	0.0678	675	553	0.00037965423819584173	0.0011159032653669627	pathway_bridge	pathway_bridge	614.0	0.0007477787517814023
ACTC1	CDH23	complex; input	-	1.0	complex	0	inter	20	4	29.35	1.0	15.175	0.0435	0.0149	675	67	0.00037965423819584173	1.1240378474048257e-05	pathway_bridge	background	371.0	0.000195447308334945
ACTC1	CNN2	predicted	-	0.95	predicted	0	inter	20	8	29.35	6.875	18.112	0.0435	0.0849	675	81	0.00037965423819584173	1.3009028720233487e-05	pathway_bridge	pathway_bridge	378.0	0.0001963316334580376
ACTC1	CTNNA2	complex	-	1.0	complex	0	inter	20	2	29.35	7.0	18.175	0.0435	0.1207	675	58	0.00037965423819584173	6.131568870636854e-06	pathway_bridge	background	366.5	0.00019289290353323928
ACTC1	DMAP1	predicted	-	0.93	predicted	0	inter	20	3	29.35	31.333	30.342	0.0435	0.1741	675	180	0.00037965423819584173	6.007201755597061e-05	pathway_bridge	background	427.5	0.00021986312787590617
ACTC1	DNAJA1	predicted	-	0.93	predicted	0	inter	20	4	29.35	50.0	39.675	0.0435	0.0917	675	545	0.00037965423819584173	0.00039807842798019074	pathway_bridge	pathway_bridge	610.0	0.00038886633308801623
ACTC1	DNAJA4	predicted	-	0.89	predicted	0	inter	20	3	29.35	23.0	26.175	0.0435	0.284	675	81	0.00037965423819584173	2.9781257768235157e-06	pathway_bridge	background	378.0	0.00019131618198633263
ACTC1	DNM1L	predicted	-	0.88	predicted	0	inter	20	3	29.35	16.333	22.842	0.0435	0.0504	675	324	0.00037965423819584173	0.00010447671624689569	pathway_bridge	background	499.5	0.00024206547722136873
ACTC1	EEF2	predicted	-	0.88	predicted	0	inter	20	14	29.35	69.5	49.425	0.0435	0.1255	675	554	0.00037965423819584173	0.00032234801219481696	pathway_bridge	pathway_bridge	614.5	0.00035100112519532935
ACTC1	HIP1	complex; input	-	1.0	complex	0	inter	20	8	29.35	11.0	20.175	0.0435	0.117	675	94	0.00037965423819584173	3.777543136833338e-05	pathway_bridge	pathway_bridge	384.5	0.00020871483478208757
ACTC1	HNRNPD	predicted	-	0.88	predicted	0	inter	20	14	29.35	67.786	48.568	0.0435	0.1078	675	629	0.00037965423819584173	0.00045589797740740754	pathway_bridge	pathway_bridge	652.0	0.00041777610780162463
ACTC1	HSPA1A	predicted	-	0.93	predicted	0	inter	20	25	29.35	0.0	14.675	0.0435	nan	675	0	0.00037965423819584173	0.0	pathway_bridge	unknown	337.5	0.00018982711909792087
ACTC1	HSPD1	predicted	-	0.93	predicted	0	inter	20	11	29.35	81.273	55.311	0.0435	0.0805	675	1010	0.00037965423819584173	0.0020360185617535626	pathway_bridge	structural_hub	842.5	0.0012078363999747021
ACTC1	HTT	complex; input	-	1.0	complex	0	inter	20	5	29.35	39.6	34.475	0.0435	0.1196	675	331	0.00037965423819584173	0.00020272449962180266	pathway_bridge	background	503.0	0.0002911893689088222
ACTC1	MYH2	complex; input	-	1.0	complex	0	inter	20	11	29.35	3.091	16.22	0.0435	0.0687	675	45	0.00037965423819584173	3.981800638007852e-06	pathway_bridge	pathway_bridge	360.0	0.00019181801941692479
